itemCode,itemName,purchasePrice,stockQuantity,taxRate,taxInclusive
HW29AE,Meo Kitten Ocean Fish 6.8kg,1137.71,100,GST@18%,N
DESMMQ,MEO MACKEREL 1.2KG,400,100,GST@18%,N
V39C51,MEO MACKEREL 20KG,3960,100,GST@18%,N
C7YT8M,MEO MACKEREL 3KG,810,100,GST@18%,N
ZJ8QC4,MEO PERSIAN Cat 1.1KG,254.23,100,GST@18%,N
L1W9Q7,Meo Persian Cat 7kg,1201.27,100,GST@18%,N
EN2SM6,MEO PERSIAN KITTEN 1.1KG,400,100,GST@18%,N
PD2B1K,Meo Persian Kitten 6.8kg,1270.55,100,GST@18%,N
P5R2PJ,MEO SALMON 7KG,1134.53,100,GST@18%,N
NF5V64,MEO SEAFOOD 20KG,2684.74,100,GST@18%,N
Z5FW4V,MEO TREAT,80,100,GST@18%,N
V67YDG,MEO TUNA 20KG,3960,100,GST@18%,N
S9563J,MINI PUPPY 800GM,391.24,100,GST@18%,N
XV5ZOV,MULTICOLOR BALL M,44,100,GST@18%,N
A4TS92,N & D STARTER 2.5KG,2350,100,GST@18%,N
YP3T4P,N & D STARTER 800GM,790,100,GST@18%,N
D7NVDO,N&D Medium & Maxi Puppy 2.5kg,2350,100,GST@18%,N
S643IA,N&D MEDIUM AND MAXI PUPPY 12.5KG,0,100,GST@18%,N
QGDZWW,NAIL CUTTER BIG,155,100,GST@18%,N
T639F3,NAIL CUTTER SMALL,125,100,GST@18%,N
VFRW7I,NYLON BONE LARGE,50,100,GST@18%,N
JJ69R7,NYLON BONE MEDIUM,34,100,GST@18%,N
F8TBS9,NYLON BONE SMALL,16,100,GST@18%,N
B1MV5F,NYLON COLLOR L,57,100,GST@18%,N
RF3954,NYLON COLLOR M,40,100,GST@18%,N
WXZ36S,NYLON COLLOR S,30,100,GST@18%,N
U757S4,NYLON COLLOR XL,81,100,GST@18%,N
SCM7RE,Pe Active Adult 10kg,1779.66,100,GST@18%,N
B9BTIH,Pe Active Adult 20kg,3203.39,100,GST@18%,N
SK77JP,Pe Active Adult 3KG,1000,100,GST@18%,N
SR3N6Q,PE DENTA JUMBO MINI,63.56,100,GST@18%,N
P6P83X,PE DENTA RODEO DUO CHICKEN AND BACON,95.34,100,GST@18%,N
N7HH42,PE DENTA RODEO WITH CHICKEN,95.34,100,GST@18%,N
MK2XWI,PE MEAT AND RICE 10KG,1391.35,100,GST@18%,N
YPGE17,PE TASTY MINI CHI&DUCK CHUNKS,95.34,100,GST@18%,N
HGL5YU,PE TASTY MINI PUPPY CHICKEN,95.34,100,GST@18%,N
DSYEQ1,PE TEMPTATION,95.34,100,GST@18%,N
H3767T,Pedigree Adult cv 1.2kg,183.63,100,GST@18%,N
O61JW1,Pedigree Adult CV 100gm,14.12,100,GST@18%,N
R7131G,Pedigree Adult Cv 10kg,1306.6,100,GST@18%,N
K8U76D,Pedigree Adult CV 15KG,1796.61,100,GST@18%,N
U8WYG3,Pedigree Adult Cv 20kg,2305.08,100,GST@18%,N
CUS49E,Pedigree Adult Cv 3kg,437.88,100,GST@18%,N
F8UG14,Pedigree Adult Cv 400gm,63.56,100,GST@18%,N
LUN6W5,Pedigree Adult Gravy,24.71,100,GST@18%,N
DK75T3,PEDIGREE ADULT MEAT AND RICE 20KG,2454.25,100,GST@18%,N
RKCVIK,Pedigree Adult MR 3kg,466.41,100,GST@18%,N
UF87TC,Pedigree Adult MV 20kg,2454.24,100,GST@18%,N
TM655F,Pedigree Biscrock 500gm,94.92,100,GST@18%,N
UF5OB1,pedigree meat and milk puppy 10kg,1461.99,100,GST@18%,N
S793ME,pedigree meat and milk puppy 3kg,487.33,100,GST@18%,N
CLZG7C,Pedigree Plb 10kg,1838.98,100,GST@18%,N
ZT8XLM,Pedigree Plb 20kg,3322.03,100,GST@18%,N
F3ZMLQ,Pedigree Plb 3kg,667.37,100,GST@18%,N
X15JL2,Pedigree Puppy CM 1.2KG,190.69,100,GST@18%,N
BY29T7,Pedigree Puppy Cm 100gm,14.12,100,GST@18%,N
N738FG,Pedigree Puppy Cm 10kg,1377.22,100,GST@18%,N
QYQ4GK,Pedigree Puppy CM 15kg,1884.74,100,GST@18%,N
DIFY79,Pedigree Puppy CM 20kg,2413.55,100,GST@18%,N
XXBMXF,Pedigree Puppy Cm 3kg,459.07,100,GST@18%,N
FJRKSG,Pedigree Puppy CM 400gm,67.09,100,GST@18%,N
UW58EY,Pedigree Puppy Gravy,24.71,100,GST@18%,N
HNEOFA,PEDIGREE STARTER 1.2KG,0,100,GST@18%,N
I78KP8,PEDIGREE STARTER 3KG,0,100,GST@18%,N
W738DX,PERSIAN ADULT  400GM,363.79,100,GST@18%,N
AB755I,PET EMPIRE Auto Slicker L,105.51,100,GST@18%,N
R839DT,PET EMPIRE AUTO SLICKER M,95.36,100,GST@18%,N
X8SA4Z,Pet Empire Auto Slicker S,95.34,100,GST@18%,N
FB222D,Pet Empire Double Comb,84.32,100,GST@18%,N
W6K1UP,Pet Empire Plastic Double Side Brush M,91.1,100,GST@18%,N
XXU568,Pet Empire Plastic Double Side Brush S,82.63,100,GST@18%,N
I458CE,pet empire wooden brush m,64.73,100,GST@12%,N
WIXK3T,Pet Empire wooden brush small,55.8,100,GST@12%,N
NF35U3,pet empire wooden double side large,73.66,100,GST@12%,N
F9JI7J,POWERPACK 3KG,638.77,100,GST@18%,N
